venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
"Seddon Park, Hamilton",2025-04-02,10:00,11:30,male,Pakistan,New Zealand,21-30,58,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,12:15,male,Pakistan,New Zealand,31-40,81,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,13:00,male,Pakistan,New Zealand,41-50,6,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,Kenya,New Zealand,1-10,33,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:45,male,Kenya,New Zealand,11-20,26,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,11:30,male,Kenya,New Zealand,21-30,10,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-02-20,10:00,10:00,male,New Zealand,Kenya,1-10,72,13.0627521,80.2784304,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,10:00,male,Australia,West Indies,1-10,43,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,10:45,male,Australia,West Indies,11-20,60,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,11:30,male,Australia,West Indies,21-30,58,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,12:15,male,Australia,West Indies,31-40,41,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,13:00,male,Australia,West Indies,41-50,67,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,10:00,male,West Indies,Australia,1-10,27,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,10:45,male,West Indies,Australia,11-20,33,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,11:30,male,West Indies,Australia,21-30,56,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,12:15,male,West Indies,Australia,31-40,62,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2005-01-26,10:00,13:00,male,West Indies,Australia,41-50,18,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,13:00,male,Australia,South Africa,1-10,60,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,13:45,male,Australia,South Africa,11-20,49,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,14:30,male,Australia,South Africa,21-30,36,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,15:15,male,Australia,South Africa,31-40,51,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,16:00,male,Australia,South Africa,41-50,104,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,13:00,male,South Africa,Australia,1-10,45,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,13:45,male,South Africa,Australia,11-20,56,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,14:30,male,South Africa,Australia,21-30,64,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,15:15,male,South Africa,Australia,31-40,50,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2014-11-14,13:00,16:00,male,South Africa,Australia,41-50,53,,,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,India,West Indies,1-10,53,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,India,West Indies,11-20,44,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,India,West Indies,21-30,63,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,India,West Indies,31-40,52,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,India,West Indies,41-50,56,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,West Indies,India,1-10,46,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,West Indies,India,11-20,61,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,West Indies,India,21-30,47,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,West Indies,India,31-40,25,13.0627521,80.2784304,NA,NA,NA,NA,NA
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,West Indies,India,41-50,9,13.0627521,80.2784304,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,10:00,male,England,Australia,1-10,43,50.9237276,-1.3236178,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,10:45,male,England,Australia,11-20,44,50.9237276,-1.3236178,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,11:30,male,England,Australia,21-30,40,50.9237276,-1.3236178,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,12:15,male,England,Australia,31-40,45,50.9237276,-1.3236178,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,13:00,male,England,Australia,41-50,56,50.9237276,-1.3236178,NA,NA,NA,NA,NA
The Rose Bowl,2009-09-09,10:00,10:00,male,Australia,England,1-10,29,50.9237276,-1.3236178,NA,NA,NA,NA,NA
