venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
Kennington Oval,2017-06-08,10:00,11:30,male,Sri Lanka,India,21-30,76
Kennington Oval,2017-06-08,10:00,12:15,male,Sri Lanka,India,31-40,63
Kennington Oval,2017-06-08,10:00,13:00,male,Sri Lanka,India,41-50,75
Kingsmead,2018-02-01,10:00,10:00,male,South Africa,India,1-10,49
Kingsmead,2018-02-01,10:00,10:45,male,South Africa,India,11-20,50
Kingsmead,2018-02-01,10:00,11:30,male,South Africa,India,21-30,39
Kingsmead,2018-02-01,10:00,12:15,male,South Africa,India,31-40,62
Kingsmead,2018-02-01,10:00,13:00,male,South Africa,India,41-50,69
Kingsmead,2018-02-01,10:00,10:00,male,India,South Africa,1-10,49
Kingsmead,2018-02-01,10:00,10:45,male,India,South Africa,11-20,57
Kingsmead,2018-02-01,10:00,11:30,male,India,South Africa,21-30,55
Kingsmead,2018-02-01,10:00,12:15,male,India,South Africa,31-40,75
Kingsmead,2018-02-01,10:00,13:00,male,India,South Africa,41-50,34
"Junction Oval, Melbourne",2023-10-14,10:00,10:00,female,West Indies,Australia,1-10,32
"Junction Oval, Melbourne",2023-10-14,10:00,10:45,female,West Indies,Australia,11-20,39
"Junction Oval, Melbourne",2023-10-14,10:00,11:30,female,West Indies,Australia,21-30,31
"Junction Oval, Melbourne",2023-10-14,10:00,12:15,female,West Indies,Australia,31-40,1
"Junction Oval, Melbourne",2023-10-14,10:00,10:00,female,Australia,West Indies,1-10,68
"Junction Oval, Melbourne",2023-10-14,10:00,10:45,female,Australia,West Indies,11-20,38
Dubai International Cricket Stadium,2022-04-13,10:00,10:00,male,Scotland,Papua New Guinea,1-10,42
Dubai International Cricket Stadium,2022-04-13,10:00,10:45,male,Scotland,Papua New Guinea,11-20,29
Dubai International Cricket Stadium,2022-04-13,10:00,11:30,male,Scotland,Papua New Guinea,21-30,49
Dubai International Cricket Stadium,2022-04-13,10:00,12:15,male,Scotland,Papua New Guinea,31-40,60
Dubai International Cricket Stadium,2022-04-13,10:00,13:00,male,Scotland,Papua New Guinea,41-50,107
Dubai International Cricket Stadium,2022-04-13,10:00,10:00,male,Papua New Guinea,Scotland,1-10,49
Dubai International Cricket Stadium,2022-04-13,10:00,10:45,male,Papua New Guinea,Scotland,11-20,47
Dubai International Cricket Stadium,2022-04-13,10:00,11:30,male,Papua New Guinea,Scotland,21-30,43
Dubai International Cricket Stadium,2022-04-13,10:00,12:15,male,Papua New Guinea,Scotland,31-40,25
"Kotambi Stadium, Vadodara",2024-12-22,10:00,10:00,female,India,West Indies,1-10,40
"Kotambi Stadium, Vadodara",2024-12-22,10:00,10:45,female,India,West Indies,11-20,51
"Kotambi Stadium, Vadodara",2024-12-22,10:00,11:30,female,India,West Indies,21-30,63
"Kotambi Stadium, Vadodara",2024-12-22,10:00,12:15,female,India,West Indies,31-40,71
"Kotambi Stadium, Vadodara",2024-12-22,10:00,13:00,female,India,West Indies,41-50,89
"Kotambi Stadium, Vadodara",2024-12-22,10:00,10:00,female,West Indies,India,1-10,25
"Kotambi Stadium, Vadodara",2024-12-22,10:00,10:45,female,West Indies,India,11-20,41
"Kotambi Stadium, Vadodara",2024-12-22,10:00,11:30,female,West Indies,India,21-30,37
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,10:00,female,Ireland,Bangladesh,1-10,24
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,10:45,female,Ireland,Bangladesh,11-20,35
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,11:30,female,Ireland,Bangladesh,21-30,50
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,12:15,female,Ireland,Bangladesh,31-40,25
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,13:00,female,Ireland,Bangladesh,41-50,51
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,10:00,female,Bangladesh,Ireland,1-10,39
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,10:45,female,Bangladesh,Ireland,11-20,49
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,11:30,female,Bangladesh,Ireland,21-30,44
"Shere Bangla National Stadium, Mirpur",2024-12-02,10:00,12:15,female,Bangladesh,Ireland,31-40,54
Sophia Gardens,2017-06-12,10:00,10:00,male,Sri Lanka,Pakistan,1-10,50
Sophia Gardens,2017-06-12,10:00,10:45,male,Sri Lanka,Pakistan,11-20,50
Sophia Gardens,2017-06-12,10:00,11:30,male,Sri Lanka,Pakistan,21-30,60
Sophia Gardens,2017-06-12,10:00,12:15,male,Sri Lanka,Pakistan,31-40,25
Sophia Gardens,2017-06-12,10:00,13:00,male,Sri Lanka,Pakistan,41-50,51
Sophia Gardens,2017-06-12,10:00,10:00,male,Pakistan,Sri Lanka,1-10,65
Sophia Gardens,2017-06-12,10:00,10:45,male,Pakistan,Sri Lanka,11-20,46
Sophia Gardens,2017-06-12,10:00,11:30,male,Pakistan,Sri Lanka,21-30,51
Sophia Gardens,2017-06-12,10:00,12:15,male,Pakistan,Sri Lanka,31-40,36
Sophia Gardens,2017-06-12,10:00,13:00,male,Pakistan,Sri Lanka,41-50,39
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,10:00,male,West Indies,New Zealand,1-10,27
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,10:45,male,West Indies,New Zealand,11-20,51
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,11:30,male,West Indies,New Zealand,21-30,36
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,12:15,male,West Indies,New Zealand,31-40,38
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,13:00,male,West Indies,New Zealand,41-50,25
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,10:00,male,New Zealand,West Indies,1-10,37
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,10:45,male,New Zealand,West Indies,11-20,38
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,11:30,male,New Zealand,West Indies,21-30,47
"Sir Vivian Richards Stadium, North Sound",2007-03-29,10:00,12:15,male,New Zealand,West Indies,31-40,57
"Kingsmead, Durban",2003-03-20,10:00,10:00,male,India,Kenya,1-10,43
"Kingsmead, Durban",2003-03-20,10:00,10:45,male,India,Kenya,11-20,42
"Kingsmead, Durban",2003-03-20,10:00,11:30,male,India,Kenya,21-30,42
"Kingsmead, Durban",2003-03-20,10:00,12:15,male,India,Kenya,31-40,61
"Kingsmead, Durban",2003-03-20,10:00,13:00,male,India,Kenya,41-50,82
"Kingsmead, Durban",2003-03-20,10:00,10:00,male,Kenya,India,1-10,20
"Kingsmead, Durban",2003-03-20,10:00,10:45,male,Kenya,India,11-20,47
"Kingsmead, Durban",2003-03-20,10:00,11:30,male,Kenya,India,21-30,28
"Kingsmead, Durban",2003-03-20,10:00,12:15,male,Kenya,India,31-40,36
"Kingsmead, Durban",2003-03-20,10:00,13:00,male,Kenya,India,41-50,48
"Westpac Stadium, Wellington",2003-01-08,10:00,10:00,male,New Zealand,India,1-10,34
"Westpac Stadium, Wellington",2003-01-08,10:00,10:45,male,New Zealand,India,11-20,41
"Westpac Stadium, Wellington",2003-01-08,10:00,11:30,male,New Zealand,India,21-30,48
"Westpac Stadium, Wellington",2003-01-08,10:00,12:15,male,New Zealand,India,31-40,41
"Westpac Stadium, Wellington",2003-01-08,10:00,13:00,male,New Zealand,India,41-50,4
"Westpac Stadium, Wellington",2003-01-08,10:00,10:00,male,India,New Zealand,1-10,55
"Westpac Stadium, Wellington",2003-01-08,10:00,10:45,male,India,New Zealand,11-20,29
"Westpac Stadium, Wellington",2003-01-08,10:00,11:30,male,India,New Zealand,21-30,33
"Westpac Stadium, Wellington",2003-01-08,10:00,12:15,male,India,New Zealand,31-40,43
"Westpac Stadium, Wellington",2003-01-08,10:00,13:00,male,India,New Zealand,41-50,9
Riverside Ground,2006-06-24,10:00,10:00,male,England,Sri Lanka,1-10,47
Riverside Ground,2006-06-24,10:00,10:45,male,England,Sri Lanka,11-20,44
Riverside Ground,2006-06-24,10:00,11:30,male,England,Sri Lanka,21-30,38
Riverside Ground,2006-06-24,10:00,12:15,male,England,Sri Lanka,31-40,43
Riverside Ground,2006-06-24,10:00,13:00,male,England,Sri Lanka,41-50,89
Riverside Ground,2006-06-24,10:00,10:00,male,Sri Lanka,England,1-10,77
Riverside Ground,2006-06-24,10:00,10:45,male,Sri Lanka,England,11-20,58
Riverside Ground,2006-06-24,10:00,11:30,male,Sri Lanka,England,21-30,44
Riverside Ground,2006-06-24,10:00,12:15,male,Sri Lanka,England,31-40,69
Riverside Ground,2006-06-24,10:00,13:00,male,Sri Lanka,England,41-50,17
Brabourne Stadium,2013-02-10,10:00,10:00,female,Sri Lanka,Australia,1-10,21
Brabourne Stadium,2013-02-10,10:00,10:45,female,Sri Lanka,Australia,11-20,33
Brabourne Stadium,2013-02-10,10:00,11:30,female,Sri Lanka,Australia,21-30,36
Brabourne Stadium,2013-02-10,10:00,12:15,female,Sri Lanka,Australia,31-40,31
Brabourne Stadium,2013-02-10,10:00,13:00,female,Sri Lanka,Australia,41-50,10
